,L-fFT,L-fTT,L-mFT,L-mTT,L-hFT,L-hTT,R-fFT,R-fTT,R-mFT,R-mTT,R-hFT,R-hTT,Index,Result
74,10000.0,0.68,10000.0,10000.0,0.564,0.58,0.64,0.62,10000.0,0.104,0.444,10000.0,"(8, 6)",Failed
75,0.476,0.364,0.424,0.412,0.316,0.368,0.428,0.368,0.396,0.0,10000.0,10000.0,"(8, 7)",Failed
76,10000.0,0.556,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.292,10000.0,10000.0,"(8, 14)",Failed
77,10000.0,10000.0,10000.0,0.092,0.136,0.14,10000.0,10000.0,10000.0,10000.0,0.092,10000.0,"(8, 19)",Success
78,10000.0,10000.0,10000.0,0.08,0.136,0.164,0.164,0.164,10000.0,10000.0,0.128,10000.0,"(8, 21)",Success
79,10000.0,0.244,0.156,0.084,0.224,0.228,0.24,0.24,10000.0,10000.0,0.148,10000.0,"(8, 22)",Success
80,10000.0,10000.0,0.132,0.132,10000.0,10000.0,0.184,0.184,10000.0,0.112,0.148,10000.0,"(8, 24)",Success
81,10000.0,10000.0,10000.0,0.132,0.216,10000.0,10000.0,0.184,10000.0,0.044,0.124,10000.0,"(8, 25)",Success
82,10000.0,0.392,0.58,0.584,0.384,0.44,0.584,0.588,0.388,0.088,10000.0,10000.0,"(8, 26)",Failed
83,0.512,0.288,0.504,10000.0,0.416,10000.0,0.484,0.484,0.312,0.06,10000.0,10000.0,"(8, 27)",Failed
84,10000.0,0.404,0.472,10000.0,0.36,0.364,0.624,0.408,0.292,0.02,10000.0,10000.0,"(8, 28)",Failed
85,10000.0,10000.0,10000.0,0.424,10000.0,10000.0,0.492,0.492,10000.0,0.076,10000.0,10000.0,"(9, 1)",Success
86,10000.0,10000.0,10000.0,0.232,10000.0,10000.0,0.216,0.236,0.084,0.008,10000.0,10000.0,"(9, 2)",Success
87,10000.0,10000.0,10000.0,10000.0,0.596,10000.0,10000.0,10000.0,0.452,0.0,0.516,10000.0,"(9, 5)",Failed
88,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.696,10000.0,0.0,0.084,10000.0,"(9, 7)",Failed
89,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.592,0.0,10000.0,10000.0,"(9, 10)",Failed
90,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(9, 11)",Failed
91,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.376,0.0,10000.0,10000.0,"(9, 16)",Failed
92,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.48,0.496,10000.0,0.0,10000.0,10000.0,"(9, 17)",Success
93,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(9, 19)",Failed
94,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(9, 20)",Failed
95,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(9, 24)",Failed
96,10000.0,10000.0,10000.0,0.224,0.212,0.216,10000.0,0.18,10000.0,0.048,0.18,10000.0,"(9, 26)",Success
97,10000.0,0.232,0.224,0.228,10000.0,0.26,0.248,0.248,10000.0,10000.0,0.232,10000.0,"(10, 1)",Success
98,10000.0,0.672,10000.0,0.652,10000.0,0.672,0.616,0.616,10000.0,0.032,10000.0,10000.0,"(10, 3)",Failed
99,10000.0,0.656,10000.0,0.684,0.692,0.696,0.572,0.572,0.648,0.028,0.644,10000.0,"(10, 4)",Success
100,10000.0,10000.0,0.064,10000.0,0.104,10000.0,10000.0,10000.0,10000.0,0.012,0.06,10000.0,"(10, 6)",Success
101,10000.0,10000.0,0.204,0.212,10000.0,10000.0,10000.0,10000.0,0.12,0.116,10000.0,10000.0,"(10, 7)",Success
102,10000.0,0.308,10000.0,0.28,10000.0,10000.0,0.292,0.268,10000.0,0.14,0.268,10000.0,"(10, 11)",Success
103,10000.0,0.208,10000.0,0.184,0.2,0.2,0.188,0.188,10000.0,0.056,0.176,10000.0,"(10, 12)",Success
104,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(10, 15)",Failed
105,10000.0,0.308,0.284,0.284,0.324,0.328,0.244,0.244,10000.0,0.076,0.244,10000.0,"(10, 17)",Success
106,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.432,0.436,0.672,0.0,0.584,10000.0,"(10, 18)",Failed
107,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.14,10000.0,10000.0,"(10, 20)",Failed
108,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.072,10000.0,"(10, 23)",Success
109,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.292,0.224,10000.0,10000.0,"(11, 1)",Failed
110,10000.0,10000.0,0.124,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.02,10000.0,10000.0,"(11, 6)",Success
111,0.412,0.364,0.312,0.616,0.164,0.252,0.528,0.356,10000.0,0.016,0.036,0.144,"(11, 9)",Failed
112,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.596,0.048,10000.0,10000.0,"(11, 11)",Failed
113,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.064,10000.0,10000.0,"(11, 19)",Failed
114,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.52,10000.0,10000.0,"(11, 24)",Failed
115,10000.0,10000.0,10000.0,10000.0,0.496,10000.0,0.38,0.38,10000.0,0.04,10000.0,10000.0,"(11, 25)",Success
116,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.008,10000.0,10000.0,"(11, 26)",Failed
117,10000.0,10000.0,10000.0,10000.0,0.144,10000.0,0.148,0.136,10000.0,0.016,0.076,10000.0,"(12, 2)",Success
118,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.272,0.076,0.248,"(12, 6)",Success
119,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.4,0.22,10000.0,10000.0,"(12, 9)",Success
120,10000.0,10000.0,10000.0,0.532,0.696,10000.0,10000.0,10000.0,0.444,0.24,0.688,10000.0,"(12, 10)",Failed
121,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.32,0.324,10000.0,0.128,10000.0,10000.0,"(12, 13)",Success
122,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.172,10000.0,10000.0,"(12, 16)",Success
123,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.156,10000.0,10000.0,"(12, 22)",Success
124,10000.0,10000.0,10000.0,10000.0,0.36,0.64,10000.0,0.696,10000.0,0.236,0.36,0.324,"(12, 26)",Failed
125,10000.0,10000.0,0.484,10000.0,10000.0,10000.0,10000.0,10000.0,0.164,0.164,10000.0,10000.0,"(12, 28)",Success
126,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,"(15, 5)",Failed
127,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.052,0.024,10000.0,10000.0,"(15, 6)",Failed
128,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.096,0.0,0.5,10000.0,"(15, 7)",Failed
129,0.444,0.444,10000.0,10000.0,10000.0,10000.0,0.416,0.42,0.168,0.072,10000.0,10000.0,"(15, 11)",Success
130,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.024,0.0,0.232,10000.0,"(15, 12)",Failed
131,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.448,10000.0,10000.0,"(15, 14)",Failed
132,10000.0,10000.0,10000.0,10000.0,0.476,0.428,0.356,0.356,10000.0,0.196,0.424,0.428,"(15, 15)",Success
133,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.128,10000.0,10000.0,"(15, 16)",Failed
134,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.108,10000.0,10000.0,"(15, 17)",Failed
